date,action,quantity,reason,price
2025-01-06,TradeAction.BUY,401,动量突破 + 成交量放大 (动量=9.07%),149.43
2025-01-07,TradeAction.SELL,401,止损 (亏损-6.22%),140.14
2025-04-09,TradeAction.BUY,504,动量突破 + 成交量放大 (动量=3.54%),114.33
2025-04-10,TradeAction.SELL,504,止损 (亏损-5.91%),107.57
2025-05-13,TradeAction.BUY,427,动量突破 + 成交量放大 (动量=14.44%),129.93
2025-05-21,TradeAction.SELL,427,动量转负 (-2.62%),131.8
2025-05-29,TradeAction.BUY,402,动量突破 + 成交量放大 (动量=5.61%),139.19
2025-05-30,TradeAction.SELL,402,止损 (亏损-2.92%),135.13
2025-06-25,TradeAction.BUY,356,动量突破 + 成交量放大 (动量=7.07%),154.31
2025-07-09,TradeAction.SELL,356,止盈 (盈利5.55%),162.88
2025-08-27,TradeAction.BUY,312,动量突破 + 成交量放大 (动量=3.53%),181.6
2025-08-29,TradeAction.SELL,312,止损 (亏损-4.09%),174.18
2025-09-22,TradeAction.BUY,300,动量突破 + 成交量放大 (动量=3.30%),183.61
2025-09-23,TradeAction.SELL,300,止损 (亏损-2.82%),178.43
2025-10-28,TradeAction.BUY,269,动量突破 + 成交量放大 (动量=10.97%),201.03
2025-11-05,TradeAction.SELL,269,止损 (亏损-2.90%),195.21
